ERIC_ED165726,"ERIC Archive, Books, Charts, College Libraries, Costs, Facility Inventory, Library Collections, Library Research, Records (Forms), Research Methodology, Research Problems, Research Proposals, Stealing, Tables (Data)",,,,
ERIC_ED165727,"ERIC Archive, Books, College Libraries, Costs, Facility Inventory, Library Circulation, Library Collections, Library Research, Mathematical Models, Records (Forms), Research Methodology, Scheduling, Statistical Analysis, Stealing, Tables (Data)",,,,
ERIC_ED231378,"ERIC Archive, Academic Libraries, Cataloging, Databases, Information Systems, Library Acquisition, Library Automation, Library Catalogs, Library Circulation, Library Planning, Library Surveys, Online Systems, Questionnaires, Research Libraries, Specifications",,,,
ERIC_ED234780,"ERIC Archive, Academic Libraries, Cataloging, Check Lists, Guidelines, Library Cooperation, National Libraries, Program Design, Program Evaluation, Records (Forms), Subject Index Terms",,,,
ERIC_ED235832,"ERIC Archive, Academic Libraries, Educational Media, Higher Education, Information Retrieval, Library Catalogs, Library Instruction, Library Skills, Online Systems, Public Libraries, Search Strategies",,,,
ERIC_ED237091,"ERIC Archive, Attitudes, College Students, Interviews, Librarians, Library Education, Library Services, Opinions, Physical Disabilities, Public Libraries, State Libraries, Talking Books, Visual Impairments",,,,
ERIC_ED296739,"ERIC Archive, Academic Libraries, Library Automation, Library Catalogs, Library Instruction, Library Research, Library Surveys, Microcomputers, Online Catalogs, Online Systems, User Needs (Information)",,,,
ERIC_ED314090,"ERIC Archive, Academic Libraries, Books, Higher Education, Library Collections, Library Research, Library Surveys, Periodicals, Public Libraries, Recreational Activities, Special Libraries",,,,
ERIC_ED369398,"ERIC Archive, Academic Libraries, Conferences, Higher Education, Library Collections, Library Materials, Library Technical Processes, Preservation, Prevention, Repair, Training",,,,
ERIC_ED388321,"ERIC Archive, Access to Information, Archives, Copyrights, Electronic Journals, Full Text Databases, Guides, Higher Education, Library Collection Development, Library Material Selection, Library Networks, Library Services, Pamphlets, Research Libraries, Scholarly Communication, Surveys, Trend Analysis",,,,
ERIC_ED399968,"ERIC Archive, Academic Libraries, Access to Information, Archives, Computer Networks, Higher Education, Library Collections, Library Role, Library Services, Media Specialists, Online Searching, Universities, World Wide Web, Fagan, Michele",,,,
ERIC_ED401859,"ERIC Archive, College Libraries, Colleges, Community Colleges, Computer Networks, Computers, Cooperation, Cooperative Programs, Educational Planning, Higher Education, Information Management, Information Networks, Information Systems, Information Technology, Models, Partnerships in Education, Universities",,,,
ExamFertMaterialsExamSoils,"Soils, Fertilizers",,,,
ExamIrrigationWaters,"Artesian wells, Irrigation water",,,,
ExamZinfandelWines,"Wine and wine making, Zinfandel (Wine)",,,,
ExaminationOfTheWaterOfTheSanFernandoTunnelLosAngelesCounty,  Irrigation water,,,,
ExtrasensoryPerceptionResearchFinding,  ESP,,,,
Godort-NongovernmentalOrganizationsPartIIIOfTheGODORTUpdate871,,,,,
Godort-NongovernmentalOrganizationsPartIIOfTheGODORTUpdate799-2,,,,,
Godort-NongovernmentalOrganizationsPartIVOfTheGODORTUpdate844,,,,,
GoldMinersInTheSky,"Jim Ocean, Kathy Ocean, Metaquizzical Cafe, Hearst Mining Building, University of California Berkeley, Moore Lobby, Gold Miners In The Sky, gold mining, gold, miners, John Galen Howard, Julia Morgan",,,,
Hirsch1,"Samuel Clemens, Mark Twain, Horace Bixby, Riverboats, Steamboats, Mississippi River",,,,
Hirsch10,"Samuel Clemens, Mark Twain, Mississippi River",,,,
Hirsch11,"Samuel Clemens, Mark Twain, Mississippi River, Slavery, Civil War",,,,
Hirsch2,"Mark Twain, Samuel Clemens, Mississippi River",,,,
Hirsch3,"Samuel Clemens, Mark Twain, Mississippi River",,,,
Hirsch4,"Samuel Clemens, Mark Twain, Mississippi River",,,,
Hirsch5,"Samuel Clemens, Mark Twain, Mississippi River",,,,
Hirsch6,"Samuel Clemens, Mark Twain, Mississippi River",,,,
Hirsch7,"Samuel Clemens, Mark Twain, Mississippi River",,,,
Hirsch8,"Samuel Clemens, Mark Twain, Mississippi River",,,,
Hirsch9,"Samuel Clemens, Mark Twain, Mississippi River, Olivia Langdon Clemens",,,,
HistoricStylesOfOrnament,  Decoration and ornament,,,,
NoticeDistPlantsSeedQuinoa,"Plant cuttings, Quinoa",,,,
PoetryShow8,"Bob Holman, W.S. Merwin, Robert Kelly, Christian B\u00f6k, Michael Brownstein, Ron Silliman, Miles Ciletti, Patrick Joseph Di Puccio, Wanda Coleman, Langston Hughes, Howard Michael Henderson, Richard Meltzer, Charles Bukowski, Ted Berrigan, Mark Jarman, Pierre Joris, Jerome Rothenberg, Jorge Luis Borges, William Furlong & Michael Archer, William Burroughs, Brion Gysin, Timothy Leary, Les Levine, Robert Anton Wilson, Gary Snyder, Marjorie Welish, Alice Notley, Matthew Siegel, Raymond Fetterman & Charles Bernstein, Dr. Frank Stranges, Marcel Duchamp, Jean Baudrillard, The Chance Band, Peter Rowan, Robert Bly, Bernadette Mayer, John Giorno, Brion Gysin, Anne Waldman, Garcia Lorca, Carolyn Forch\u00e9, Spoken Word, Music, The Avant-Garde, The Oulipo, Audio Arts",,,,
RayBeldnerAtcLectureAtUcBerkeley,"Ray Beldner, Art, Technology, Culture, Colloquium, ATC, UC Berkeley, University of California, Berkeley, Ken Goldberg, Susan Miller, Berkeley Center for New Media, BCNM",,,,
ScholarlyElectronicPublishingBibliography2010,"Copyright, Creative Commons Licenses, Data Curation, Data Preservation, Digital Libraries, Digital Curation, Digital Libraries, Digital Repositories, Digital Rights Management, Digitization, Ebooks, E-Books, Electronic Books, Ejournals, E-Journals, Electronic Journals, Electronic Publishing, Electronic Resources, E-Texts, Electronic Texts, Electronic Theses And Dissertations, ETD, Electronic Texts, Eprints, E-Prints, Institutional Repositories, Libraries, Licensing, Mass Digitization, Metadata, Net Neutrality, Open Access, Open Licenses, Open Science, Peer Review, Public Domain, Publishing, Research Data Curation, Research Data Management, Research Libraries, Scholarly Books, Scholarly Journals, Self-Archiving, University of Houston Libraries",,,,
